keyword,volume,kd,competitor,best_position,traffic,cpc,best_url,intent_transactional,intent_commercial,segment_match
isolation intérieure mince,90,0,sonergia,1,25,13,https://sonergia.fr/conseils-travaux/isolation/mur/quelle-isolation-mince-pour-les-murs-interieurs/,False,False,yes
vente passoire thermique,70,0,sonergia,1,25,10,https://sonergia.fr/conseils-travaux/isolation/passoires-thermiques/la-vente-dune-passoire-thermique-est-elle-interdite/,False,False,yes
comment insonoriser un mur,100,0,sonergia,2,25,42,https://sonergia.fr/conseils-travaux/isolation/isolation-phonique/comment-isoler-phoniquement-un-mur-entre-voisins/,False,False,yes
dpe minimum pour louer,70,10,sonergia,1,25,,https://sonergia.fr/guide-des-aides/reglementation/dpe-et-location-quelles-obligations-en-2024/,False,False,yes
fibre de bois isolation phonique,70,0,sonergia,1,24,35,https://sonergia.fr/conseils-travaux/isolation/isolation-phonique/fibre-de-bois-ou-laine-de-roche-quel-isolant-choisir-pour-lisolation-phonique/,False,False,yes
comment isoler un mur du bruit,40,1,sonergia,1,24,40,https://sonergia.fr/conseils-travaux/isolation/isolation-phonique/comment-isoler-phoniquement-un-mur-entre-voisins/,False,False,yes
tableau épaisseur laine de verre,300,0,sonergia,5,24,9,https://sonergia.fr/conseils-travaux/isolation/materiaux-isolants/lepaisseur-de-laine-de-verre-ideale-pour-isoler/,False,False,yes
comment isoler une cave humide,50,0,sonergia,1,24,40,https://sonergia.fr/conseils-travaux/isolation/sol/comment-realiser-lisolation-dun-sous-sol-humide-les-solutions/,False,False,yes
pompe a chaleur solaire,150,0,sonergia,3,24,80,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/cest-quoi-un-systeme-solaire-combine-avec-pompe-a-chaleur/,False,False,yes
cout installation pompe a chaleur,350,1,sonergia,5,24,128,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/prix-pompe-a-chaleur-air-eau-quel-budget-moyen-prevoir/,False,False,yes
quel est le meilleur mode de chauffage,40,4,sonergia,1,24,53,https://sonergia.fr/conseils-travaux/chauffage/quel-systeme-de-chauffage-choisir-le-comparatif-complet/,False,False,yes
pac solaire,90,1,sonergia,2,24,84,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/cest-quoi-un-systeme-solaire-combine-avec-pompe-a-chaleur/,False,False,yes
maintenance pompe a chaleur,250,0,sonergia,3,24,120,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/quel-entretien-prevoir-pour-une-pompe-a-chaleur/,False,False,yes
épaisseur isolation mur intérieur,400,0,sonergia,7,24,2,https://sonergia.fr/conseils-travaux/isolation/mur/quelle-epaisseur-pour-lisolation-dun-mur-interieur/,False,False,yes
selectra,11000,3,selectra,1,10451,44,https://selectra.info/,False,False,no
free contact,12000,28,selectra,1,7612,32,https://selectra.info/telecom/fournisseurs/free/contact,False,False,no
contacter free,13000,20,selectra,1,7581,34,https://selectra.info/telecom/fournisseurs/free/contact,False,False,no
virement bancaire,270000,9,selectra,1,7525,117,https://selectra.info/finance/actualites/bons-plans/virements-bloques-weekend-1er-mai-2026,False,False,no
free numero,17000,43,selectra,1,6612,41,https://selectra.info/telecom/fournisseurs/free/contact,False,False,no
comment joindre free sans passer par le 3244,16000,4,selectra,1,5801,39,https://selectra.info/telecom/fournisseurs/free/contact,False,False,no
contact free,7100,30,selectra,1,4145,36,https://selectra.info/telecom/fournisseurs/free/contact,False,False,no
veolia espace client,13000,0,selectra,3,2269,80,https://eau.selectra.info/veolia/espace-client-mon-compte,True,False,no
veolia mon compte,13000,2,selectra,4,1780,59,https://eau.selectra.info/veolia/espace-client-mon-compte,False,False,no
numéro cdiscount 09 70 80,9500,3,selectra,2,1763,23,https://selectra.info/energie/fournisseurs/cdiscount/contact,False,False,yes
cdiscount 0178918256,5800,1,selectra,1,1321,38,https://selectra.info/energie/fournisseurs/cdiscount/contact,False,False,yes
tv sur pc,1200,5,selectra,1,1062,11,https://selectra.info/telecom/tv/sur-pc,False,False,no
service client boursorama 0146,11000,2,selectra,2,1050,26,https://selectra.info/finance/banques/boursorama-banque/contact,False,False,no
comment joindre free,1700,9,selectra,1,1033,34,https://selectra.info/telecom/fournisseurs/free/contact,False,False,no
lebara mobile,11000,3,selectra,4,1015,48,https://selectra.info/telecom/fournisseurs/lebara-mobile,False,True,no
abonnement canal plus,21000,43,selectra,7,983,27,https://selectra.info/telecom/tv/svod/canal-plus,False,True,no
test debit,399000,57,selectra,22,970,6,https://selectra.info/telecom/test-debit,False,False,no
carrefour assurance,8700,0,selectra,4,892,75,https://selectra.info/assurance/assureurs/carrefour/telephone,False,True,no
consuel pro,7600,1,selectra,3,831,91,https://entreprises.selectra.info/energie/electricite/consuel-pro,False,False,yes
oney banque téléphone,2300,1,selectra,1,827,25,https://selectra.info/finance/banques/oney/contact,False,False,no
contacter cdiscount par téléphone,5500,4,selectra,3,818,20,https://selectra.info/energie/fournisseurs/cdiscount/contact,False,False,yes
attestation d'hébergement,324000,3,selectra,15,817,34,https://selectra.info/demenagement/location/attestation-hebergement,False,False,yes
joindre free,1400,20,selectra,1,780,34,https://selectra.info/telecom/fournisseurs/free/contact,False,False,no
comparatif offre fibre,6300,22,selectra,4,774,111,https://comparateur.selectra.info/telecom/internet,False,True,no
freebox ultra,30000,3,selectra,10,747,22,https://comparateur.selectra.info/telecom/internet/free/freebox-ultra,False,True,no
free contact client,1300,12,selectra,1,700,29,https://selectra.info/telecom/fournisseurs/free/contact,False,False,no
prix eau m3 par ville,1600,3,selectra,1,687,5,https://selectra.info/energie/eau/prix,False,False,yes
free numero client,2100,22,selectra,1,684,25,https://selectra.info/telecom/fournisseurs/free/contact,False,False,no
visa ou mastercard,1000,1,selectra,1,680,35,https://selectra.info/finance/guides/cartes-bancaires/mastercard-visa-differences,False,False,no
free appel,1600,36,selectra,1,667,34,https://selectra.info/telecom/fournisseurs/free/contact,False,False,no
banque en ligne gratuite,12000,71,selectra,5,664,253,https://selectra.info/finance/guides/banque-en-ligne/sans-revenu-minimum,False,True,no
sport en france free,1800,1,selectra,1,656,26,https://selectra.info/telecom/tv/sport/sport-en-france,False,False,no
comparateur box internet,5900,35,selectra,5,649,137,https://comparateur.selectra.info/telecom/internet,False,True,no
es strasbourg,38000,0,selectra,9,646,56,https://selectra.info/energie/fournisseurs/es-strasbourg/telephone,False,False,yes
mastercard ou visa,800,1,selectra,1,643,35,https://selectra.info/finance/guides/cartes-bancaires/mastercard-visa-differences,False,False,no
comparateur forfait mobile,6700,43,selectra,4,639,38,https://comparateur.selectra.info/telecom/mobile,False,True,no
boutique free autour de moi,8500,0,selectra,6,638,18,https://selectra.info/telecom/fournisseurs/free/boutiques,False,False,no
facteur de puissance,800,0,selectra,1,617,27,https://entreprises.selectra.info/energie/electricite/compteurs/puissance/facteur,False,False,yes
box 5g free,6300,1,selectra,4,592,77,https://comparateur.selectra.info/telecom/internet/free/box-5g,False,True,no
freebox os,21000,5,selectra,7,577,11,https://selectra.info/telecom/fournisseurs/free/freebox-os,False,False,no
plenitude energie,12000,1,selectra,7,567,124,https://selectra.info/energie/fournisseurs/plenitude,False,True,yes
meilleur abonnement iptv,1500,14,selectra,1,561,30,https://selectra.info/telecom/tv/iptv,False,True,no
free pro,28000,26,selectra,12,556,58,https://entreprises.selectra.info/telecom/fournisseurs/free,False,True,no
contacter oney,1200,0,selectra,1,543,14,https://selectra.info/finance/banques/oney/contact,False,False,no
service client boursorama numéro gratuit,11000,2,selectra,2,533,29,https://selectra.info/finance/banques/boursorama-banque/contact,False,False,no
selectra energie,500,35,selectra,1,530,176,https://selectra.info/energie,False,True,yes
oney bank contact,800,1,selectra,1,528,20,https://selectra.info/finance/banques/oney/contact,False,False,no
oney banque contact,700,0,selectra,1,525,14,https://selectra.info/finance/banques/oney/contact,False,False,no
fibre sfr installation,500,2,selectra,1,521,36,https://selectra.info/telecom/fournisseurs/sfr/installation-fibre,False,False,no
veolia mon espace personnel,4800,0,selectra,3,511,,https://eau.selectra.info/veolia/espace-client-mon-compte,False,False,no
flitter assurance,6800,0,selectra,5,508,181,https://selectra.info/assurance/assureurs/flitter,False,True,no
iptv,118000,20,selectra,2,508,22,https://selectra.info/telecom/tv/iptv,False,False,no
constat amiable degat des eaux,5500,2,selectra,4,494,14,https://eau.selectra.info/degat-des-eaux/constat,False,False,no
lettre préavis appartement,1500,2,selectra,2,494,13,https://selectra.info/demenagement/location/preavis-lettre,False,False,no
younited credit téléphone,1300,14,selectra,1,489,56,https://selectra.info/finance/banques/younited-credit,False,False,no
service client cdiscount numéro gratuit,4300,2,selectra,3,486,31,https://selectra.info/energie/fournisseurs/cdiscount/contact,False,False,yes
resilier sosh,500,0,selectra,1,485,32,https://selectra.info/telecom/fournisseurs/sosh/resiliation,True,False,no
constat degat des eaux,2700,1,selectra,2,484,8,https://eau.selectra.info/degat-des-eaux/constat,False,False,no
attestation d'hébergement pdf,29000,1,selectra,13,482,32,https://selectra.info/sites/selectra.info/files/demenagement/attestation-hebergement.pdf,False,False,yes
comparatif fibre,3700,12,selectra,5,477,123,https://comparateur.selectra.info/telecom/internet,False,True,no
consommation moyenne eau pour 2 personnes,1500,5,selectra,1,471,22,https://eau.selectra.info/consommation,False,False,no
compteur d'eau,9700,0,selectra,1,466,21,https://eau.selectra.info/consommation,False,True,no
younited telephone,400,13,selectra,1,463,32,https://selectra.info/finance/banques/younited-credit,False,False,no
numéro nickel gratuit,3100,7,selectra,2,455,43,https://selectra.info/finance/banques/nickel/contact,False,False,no
verisure service client,7600,0,selectra,5,441,36,https://selectra.info/domotique/fournisseurs/verisure/contact,False,False,no
suez téléphone,4000,9,selectra,2,436,80,https://eau.selectra.info/suez/service-client,False,False,no
contacter la poste mobile,700,4,selectra,1,435,31,https://selectra.info/telecom/fournisseurs/la-poste-mobile/contact,False,False,no
service technique free,1100,14,selectra,1,434,,https://selectra.info/telecom/fournisseurs/free/contact,False,False,no
panne free,38000,32,selectra,15,433,5,https://selectra.info/telecom/fournisseurs/free/probleme-reseau,False,False,no
sg professionnels,4900,0,selectra,5,420,160,https://selectra.info/finance/banques/sg-pro,False,False,no
luko assurance,6700,1,selectra,5,418,78,https://selectra.info/assurance/assureurs/luko,False,True,no
prix bouteille de gaz propane 13 kg leclerc,1000,0,selectra,1,416,225,https://selectra.info/energie/propane/fournisseurs/clairgaz/bouteilles,False,True,yes
olivier assurance téléphone gratuit,1100,1,selectra,1,409,136,https://selectra.info/assurance/assureurs/olivier-assurance/telephone,False,False,no
authentification de la freebox en cours,500,0,selectra,1,405,5,https://selectra.info/telecom/fournisseurs/free/probleme-freebox,False,False,no
lettre de préavis logement,4900,1,selectra,3,403,3,https://selectra.info/demenagement/location/preavis-lettre,False,False,no
opérateur free,600,63,selectra,1,399,52,https://selectra.info/telecom/fournisseurs/free,False,False,no
numéro la banque postale gratuit,3400,17,selectra,1,396,18,https://selectra.info/assurance/assureurs/banque-postale/telephone,False,False,no
prix m3 eau,7000,0,selectra,4,387,3,https://eau.selectra.info/prix-eau,False,False,no
primeo energie,53000,4,selectra,14,387,124,https://selectra.info/energie/fournisseurs/primeo,False,False,yes
eau grand avignon,4900,0,selectra,3,383,77,https://eau.selectra.info/delegataire/9033,False,False,no
chasse d'eau qui coule,4100,0,selectra,2,380,2,https://eau.selectra.info/consommation/fuite-cuvette-wc,False,False,no
connexion box sfr,400,17,selectra,1,377,35,https://selectra.info/telecom/fournisseurs/sfr/interface-box,False,False,no
octopus energy,64000,2,selectra,9,377,25,https://selectra.info/energie/fournisseurs/octopus-energy,False,True,yes
abonnement canal plus prix,2100,41,selectra,2,372,14,https://selectra.info/telecom/tv/svod/canal-plus,False,True,no
freebox tel,500,18,selectra,1,364,42,https://selectra.info/telecom/fournisseurs/free/service-client,False,False,no
eau agglo perpignan,3600,0,selectra,5,359,88,https://eau.selectra.info/delegataire/7838,False,False,no
friday assurance,5800,0,selectra,6,347,191,https://selectra.info/assurance/assureurs/friday,False,True,no
appeler free gratuitement,600,11,selectra,1,345,34,https://selectra.info/telecom/fournisseurs/free/service-client,False,False,no
plafond carte revolut,600,42,selectra,1,345,34,https://selectra.info/finance/banques/revolut/cartes-bancaires,False,False,no
consommation eau famille 4 personnes,600,1,selectra,1,342,388,https://eau.selectra.info/consommation,False,False,no
alpiq mon compte,8900,1,selectra,8,342,3,https://selectra.info/energie/fournisseurs/alpiq/espace-client,False,False,yes
comparateur fibre,2700,22,selectra,4,338,173,https://comparateur.selectra.info/telecom/internet,False,True,no
chaine eurosport orange,350,0,selectra,1,331,159,https://selectra.info/telecom/fournisseurs/orange/eurosport,False,False,no
ornikar assurance téléphone,900,1,selectra,1,329,112,https://selectra.info/assurance/assureurs/ornikar,False,False,no
veolia téléphone,3500,0,selectra,5,325,61,https://eau.selectra.info/veolia/contact,False,False,no
selectra assistance habitation,500,0,selectra,1,325,50,https://selectra.info/assurance/assureurs/axa/assistance-habitation/resilier,False,False,no
offre box internet,10000,61,selectra,7,322,137,https://comparateur.selectra.info/telecom/internet,False,True,no
cdiscount numéro de téléphone,2000,4,selectra,3,317,25,https://selectra.info/energie/fournisseurs/cdiscount/contact,False,False,yes
netflix avec orange gratuit,900,1,selectra,1,314,70,https://selectra.info/telecom/fournisseurs/orange/netflix,False,True,no
paylib avis,4400,0,selectra,6,310,39,https://selectra.info/finance/guides/compte-bancaire/paylib,False,False,no
