competitor,dr,url,traffic,position,top_keyword,volume,keywords_on_page,value_usd,segment_match
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/poele-a-granules/poele-a-granules-comment-choisir-le-bon-modele-au-bon-prix/,23,10,poele a granule prix avec installation,150,21,1187,yes
sonergia,49.0,https://sonergia.fr/nous-decouvrir/,22,1,sonergia,1200,2,2023,no
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/chaudiere-biomasse/chaudiere-mixte-bois-et-pellet-fonctionnement-avis-prix/,22,11,chaudiere mixte bois et granulés,100,17,925,yes
sonergia,49.0,https://sonergia.fr/nous-decouvrir/notre-identite/,22,1,sonergia,1200,2,2023,no
sonergia,49.0,https://sonergia.fr/nous-decouvrir/nous-rejoindre/,22,1,sonergia recrutement,60,2,123,no
sonergia,49.0,https://sonergia.fr/guide-des-aides/reglementation/dpe-est-il-obligatoire-pour-les-locations-saisonnieres-en-2025/,20,1,location saisonnière passoire thermique,20,10,175,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/solaire/panneaux-thermiques/quelle-est-la-duree-de-vie-dun-panneau-solaire-thermique/,18,5,durée de vie panneaux solaires thermiques,100,4,724,yes
sonergia,49.0,https://sonergia.fr/professionnels/devenir-rge/rge-combien-de-temps-pour-devenir-une-entreprise-certifiee/,17,3,combien de temps pour devenir rge,100,2,326,yes
sonergia,49.0,https://sonergia.fr/professionnels/devenir-rge/quel-est-le-prix-dune-formation-rge/,17,7,formation rge prix,150,12,651,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/primes-energie/prime-energie-cee/prime-energie-pour-poele-a-bois-comment-en-profiter/,17,8,prime cee poele a bois,200,7,2142,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/pompe-a-chaleur-pour-eau-chaude-un-systeme-performant-et-ecologique/,16,8,pompe a chaleur ballon eau chaude,150,6,900,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/chauffe-eau/quel-chauffe-eau-choisir-thermodynamique-ou-electrique/,16,7,chauffe eau thermodynamique ou électrique,150,7,147,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/pompe-a-chaleur-un-choix-vraiment-economique/,15,6,pompe a chaleur economie,150,11,1466,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/solaire/panneaux-thermiques/quel-est-le-rendement-des-panneaux-solaires-thermiques/,14,3,panneau solaire thermique rendement,40,5,448,yes
sonergia,49.0,https://sonergia.fr/conseils-travaux/chauffage/pompe-a-chaleur/pompe-a-chaleur-basse-temperature-est-elle-pertinente-en-renovation/,14,8,pompe a chaleur basse température,150,6,1234,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/primes-energie/prime-energie-cee/demander-sa-prime-cee-les-etapes-et-conditions/,13,6,demande prime cee,150,8,2484,yes
sonergia,49.0,https://sonergia.fr/autre/quelle-aide-pour-installer-votre-chauffe-eau-thermodynamique/,12,14,aide chauffe eau thermodynamique,450,10,1133,yes
sonergia,49.0,https://sonergia.fr/guide-des-aides/primes-energie/prime-energie-cee/prime-cee-et-robinet-thermostatique-comment-beneficier-de-laide/,12,4,aide robinet thermostatique 2024,40,9,423,yes
selectra,78.0,https://selectra.info/telecom/fournisseurs/free/contact,39946,1,free contact,12000,1039,1365286,no
selectra,78.0,https://selectra.info/,9985,1,selectra,11000,86,463841,no
selectra,78.0,https://selectra.info/demenagement/location/preavis-lettre,8726,2,lettre préavis appartement,1500,742,71103,no
selectra,78.0,https://selectra.info/finance/actualites/bons-plans/virements-bloques-weekend-1er-mai-2026,7624,1,virement bancaire,270000,12,884556,no
selectra,78.0,https://comparateur.selectra.info/telecom/internet,6792,4,comparatif offre fibre,6300,530,862980,no
selectra,78.0,https://selectra.info/energie/fournisseurs/cdiscount/contact,6766,2,numéro cdiscount 09 70 80,9500,216,190770,yes
selectra,78.0,https://selectra.info/telecom/fournisseurs/free/service-client,5821,1,freebox tel,500,1352,182482,no
selectra,78.0,https://eau.selectra.info/consommation,5613,1,consommation moyenne eau pour 2 personnes,1500,437,647533,no
selectra,78.0,https://eau.selectra.info/veolia/espace-client-mon-compte,5222,3,veolia espace client,13000,64,303491,no
selectra,78.0,https://selectra.info/finance/banques/oney/contact,4984,1,oney banque téléphone,2300,216,143444,no
selectra,78.0,https://selectra.info/telecom/tv/iptv,4809,1,meilleur abonnement iptv,1500,285,134160,no
selectra,78.0,https://selectra.info/telecom/tv/svod/canal-plus,3682,7,abonnement canal plus,21000,258,92995,no
selectra,78.0,https://selectra.info/finance/banques/boursorama-banque/contact,3545,4,service client boursorama 0146,11000,419,174007,no
selectra,78.0,https://selectra.info/telecom/fournisseurs/free/probleme-reseau,2939,15,panne free,38000,420,28694,no
selectra,78.0,https://selectra.info/finance/guides/cartes-bancaires/mastercard-visa-differences,2669,1,visa ou mastercard,1000,52,98229,no
selectra,78.0,https://selectra.info/finance/banques/younited-credit,2343,1,younited credit téléphone,1300,70,120924,no
selectra,78.0,https://selectra.info/finance/banques/cetelem/contact,2323,5,cetelem téléphone,2700,229,90181,no
selectra,78.0,https://selectra.info/finance/banques/revolut/contact,2176,5,revolut numero,2600,86,84938,no
selectra,78.0,https://selectra.info/telecom/tv/sur-pc,2171,1,tv sur pc,1200,111,19344,no
selectra,78.0,https://selectra.info/telecom/fournisseurs/bouygues/service-client,1952,8,assistance bouygues 24h/24,1800,1355,75554,no
selectra,78.0,https://comparateur.selectra.info/telecom/internet-mobile,1911,8,forfait internet,7000,346,181372,no
selectra,78.0,https://eau.selectra.info/consommation/fuite-cuvette-wc,1910,5,chasse d'eau qui coule,4100,184,48679,no
selectra,78.0,https://eau.selectra.info/prix-eau,1863,4,prix m3 eau,7000,345,92742,no
selectra,78.0,https://comparateur.selectra.info/telecom/mobile,1801,4,comparateur forfait mobile,6700,303,88600,no
selectra,78.0,https://selectra.info/telecom/test-debit,1778,22,test debit,399000,96,9303,no
selectra,78.0,https://selectra.info/assurance/assureurs/banque-postale/telephone,1753,3,numéro la banque postale gratuit,3400,417,51824,no
selectra,78.0,https://selectra.info/telecom/fournisseurs/la-poste-mobile/contact,1699,1,contacter la poste mobile,700,174,81077,no
selectra,78.0,https://selectra.info/energie/guides/comprendre/kw-cv,1680,5,kw en cv,7600,506,6435,yes
selectra,78.0,https://selectra.info/energie/propane/bouteilles/taille-13kg,1626,6,prix bouteille de gaz butane 13 kg,2400,137,22596,yes
selectra,78.0,https://selectra.info/telecom/tv/svod/netflix,1606,8,prix netflix,17000,320,101164,no
selectra,78.0,https://selectra.info/telecom/fournisseurs/free/freebox-os,1564,7,freebox os,21000,354,27336,no
selectra,78.0,https://selectra.info/assurance/assureurs/olivier-assurance/telephone,1480,1,olivier assurance téléphone gratuit,1100,158,120698,no
selectra,78.0,https://selectra.info/telecom/tv/sport/sport-en-france,1464,1,sport en france free,1800,58,30010,no
selectra,78.0,https://selectra.info/energie,1408,1,selectra energie,500,163,222397,yes
selectra,78.0,https://selectra.info/telecom/fournisseurs/free/boutiques,1407,6,boutique free autour de moi,8500,167,24112,no
selectra,78.0,https://eau.selectra.info/compteur/numero,1391,2,numero compteur eau,2300,78,36468,no
selectra,78.0,https://selectra.info/assurance/assureurs/pacifica/telephone,1368,10,pacifica téléphone,8200,376,57532,no
selectra,78.0,https://selectra.info/energie/propane/fournisseurs/carrefour,1323,1,prix bouteille de gaz butane 13 kg carrefour,600,99,69736,yes
selectra,78.0,https://eau.selectra.info/veolia/contact,1323,5,veolia téléphone,3500,134,91758,no
selectra,78.0,https://selectra.info/telecom/fournisseurs/orange/eurosport,1308,1,chaine eurosport orange,350,111,101161,no
selectra,78.0,https://eau.selectra.info/degat-des-eaux/constat,1259,4,constat amiable degat des eaux,5500,63,16968,no
selectra,78.0,https://selectra.info/domotique/fournisseurs/verisure/contact,1211,5,verisure service client,7600,84,104979,no
selectra,78.0,https://selectra.info/demenagement/location/attestation-hebergement,1191,15,attestation d'hébergement,324000,58,39181,yes
selectra,78.0,https://selectra.info/energie/propane/fournisseurs/antargaz/bouteilles/butane-calypso,1187,1,bouteille de gaz calypso prix,400,79,16343,yes
selectra,78.0,https://selectra.info/energie/propane/fournisseurs/clairgaz/bouteilles,1162,1,prix bouteille de gaz propane 13 kg leclerc,1000,64,116692,yes
selectra,78.0,https://selectra.info/finance/banques/revolut/cartes-bancaires,1157,1,plafond carte revolut,600,158,60287,no
selectra,78.0,https://selectra.info/telecom/mobile/donnees,1133,5,données mobiles,4600,104,41758,no
selectra,78.0,https://selectra.info/assurance/assureurs/carrefour/telephone,1128,4,carrefour assurance,8700,50,84316,no
selectra,78.0,https://comparateur.selectra.info/telecom/internet/free/freebox-ultra,1125,10,freebox ultra,30000,26,20566,no
selectra,78.0,https://selectra.info/finance/guides/banque-en-ligne/depot-argent,1109,1,boursorama depot espece,350,141,32417,yes
selectra,78.0,https://selectra.info/assurance/assureurs/maaf/telephone,1092,1,contacter la maaf,250,230,89562,no
selectra,78.0,https://selectra.info/telecom/fournisseurs/nrj-mobile/contact,1091,1,contacter nrj mobile,300,148,50506,no
selectra,78.0,https://selectra.info/energie/eau/prix,1075,1,prix eau m3 par ville,1600,144,40245,yes
selectra,78.0,https://selectra.info/finance/banques/nickel/contact,1060,2,numéro nickel gratuit,3100,175,38018,no
selectra,78.0,https://selectra.info/telecom/fournisseurs/lebara-mobile,1059,4,lebara mobile,11000,22,50313,no
selectra,78.0,https://selectra.info/energie/fournisseurs/edf/tempo,1030,7,offre tempo edf,9800,194,43267,yes
selectra,78.0,https://comparateur.selectra.info/telecom/internet/free/box-5g,1024,4,box 5g free,6300,25,75111,no
selectra,78.0,https://entreprises.selectra.info/energie/electricite/compteurs/kva-kw,995,1,conversion kva kw,250,105,10837,yes
selectra,78.0,https://selectra.info/domotique/fournisseurs/somfy/contact,991,1,somfy contact,300,51,21402,no
selectra,78.0,https://selectra.info/telecom/fournisseurs/orange/service-client,990,5,téléphone orange gratuit,600,977,30408,no
selectra,78.0,https://selectra.info/finance/banques/cofidis,988,5,numéro de téléphone de cofidis gratuit,800,192,10160,no
selectra,78.0,https://entreprises.selectra.info/energie/electricite/compteurs/kw-w,982,2,watt en kwh,350,232,14629,yes
selectra,78.0,https://selectra.info/telecom/fournisseurs/free/disney,980,5,disney + gratuit,1800,187,91791,no
selectra,78.0,https://entreprises.selectra.info/energie/electricite/consuel-pro,955,4,consuel pro,7600,21,103589,yes
selectra,78.0,https://selectra.info/telecom/fournisseurs/orange/probleme-reseau,942,13,problème internet aujourd'hui,10000,427,14679,no
selectra,78.0,https://selectra.info/telecom/tv/svod/hbo-max,934,3,hbo max prix,2400,29,15658,no
selectra,78.0,https://selectra.info/energie/fournisseurs/engie/service-client,933,5,engie téléphone gratuit,1900,246,83719,yes
selectra,78.0,https://selectra.info/energie/fournisseurs/engie/telephone,929,3,numero engie france,500,220,126992,yes
selectra,78.0,https://selectra.info/telecom/fournisseurs/cdiscount-mobile/contact,926,3,cdiscount mobile service client,1300,109,27525,no
selectra,78.0,https://selectra.info/telecom/comparatif-operateurs/meilleur-operateur-mobile,924,1,quel est le meilleur opérateur mobile,600,142,54260,no
selectra,78.0,https://selectra.info/telecom/fibre/prise,869,7,prise fibre,8500,65,68048,no
selectra,78.0,https://selectra.info/energie/fournisseurs/plenitude,822,7,plenitude energie,12000,7,91773,yes
selectra,78.0,https://selectra.info/energie/fournisseurs/es-strasbourg/telephone,801,9,es strasbourg,38000,49,48486,yes
selectra,78.0,https://selectra.info/energie/propane/fournisseurs/butagaz/bouteilles/butane-le-cube,799,1,prix cube butagaz leclerc,600,134,11441,yes
selectra,78.0,https://selectra.info/assurance/assureurs/macif/telephone,794,1,+33 9 69 39 49 51,350,282,22776,no
selectra,78.0,https://selectra.info/telecom/aide/changer-numero,786,1,comment changer de numéro de téléphone,900,62,34137,yes
selectra,78.0,https://selectra.info/telecom/fournisseurs/free/netflix,782,1,netflix free gratuit,700,158,31320,no
selectra,78.0,https://selectra.info/telecom/fournisseurs/free/probleme-freebox,770,1,authentification de la freebox en cours,500,192,2298,no
selectra,78.0,https://selectra.info/telecom/tv/svod/paramount-plus,765,1,paramount+ prix,500,36,21154,no
selectra,78.0,https://selectra.info/energie/propane/fournisseurs/u-energie/bouteilles,764,3,prix bouteille de gaz super u,900,74,21159,yes
selectra,78.0,https://selectra.info/telecom/fournisseurs/sosh/resiliation,754,1,resilier sosh,500,78,21074,no
selectra,78.0,https://selectra.info/assurance/assureurs/bpce-assurances/telephone,745,7,bpce assurance téléphone,2900,130,38223,no
selectra,78.0,https://selectra.info/finance/guides/banque-en-ligne/sans-revenu-minimum,739,5,banque en ligne gratuite,12000,19,182167,no
selectra,78.0,https://selectra.info/telecom/fournisseurs/free/bein-sports,739,1,bein sport sur free,100,126,22072,no
selectra,78.0,https://selectra.info/finance/guides/comprendre/numero-carte-bancaire,738,1,numéro carte bancaire,400,97,78296,no
selectra,78.0,https://eau.selectra.info/compteur/legislation,712,7,compteur d'eau,9700,55,21194,no
selectra,78.0,https://entreprises.selectra.info/energie/electricite/compteurs/kva-amperes,698,1,kva en ampere,400,108,2474,yes
selectra,78.0,https://selectra.info/assurance/assureurs/ornikar,689,1,ornikar assurance téléphone,900,51,61855,no
selectra,78.0,https://selectra.info/assurance/assureurs/flitter,685,5,flitter assurance,6800,19,110274,no
selectra,78.0,https://selectra.info/finance/guides/cartes-bancaires/carte-noire,684,8,black card,5200,104,37090,no
selectra,78.0,https://eau.selectra.info/veolia/contact/particulier,682,12,veolia mon compte,13000,74,41143,no
selectra,78.0,https://selectra.info/finance/banques/american-express/centurion,662,1,amex centurion prix,200,57,48010,no
selectra,78.0,https://entreprises.selectra.info/telecom/fournisseurs/free,654,12,free pro,28000,20,37556,no
selectra,78.0,https://selectra.info/telecom/fournisseurs/syma-mobile/contact,649,6,syma mobile espace client,2300,77,92907,no
selectra,78.0,https://selectra.info/telecom/fournisseurs/sfr/installation-fibre,647,1,fibre sfr installation,500,65,22621,no
selectra,78.0,https://selectra.info/telecom/fournisseurs/orange/netflix,645,1,netflix avec orange gratuit,900,93,55658,no
selectra,78.0,https://selectra.info/finance/banques/sg-pro,644,5,sg professionnels,4900,80,89579,no
selectra,78.0,https://entreprises.selectra.info/energie/electricite/compteurs/puissance/facteur,642,1,facteur de puissance,800,15,16661,yes
selectra,78.0,https://selectra.info/telecom/fournisseurs/free/television,640,10,liste des chaînes free gratuites,4900,278,6271,no
selectra,78.0,https://selectra.info/telecom/fournisseurs/sosh/contact,638,8,sosh service client numéro gratuit,6700,278,20736,no
